,AP,Nationality_codes,Gender_codes,Discipline_codes,experience_dive,experience_discipline,Points
715,1.6150688646186222,0.5951751157784149,0.7485672628484212,-0.522575840646641,6.120024245294754,5.447789679833454,-1.645287976356245
725,0.3803640622739701,-1.1189675888970554,0.7485672628484212,-1.4333798127415645,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
739,0.6783962559433689,-1.1189675888970554,0.7485672628484212,-1.4333798127415645,0.22007509566509406,0.13927143930799274,-1.645287976356245
742,0.6783962559433689,-1.1189675888970554,0.7485672628484212,-1.4333798127415645,0.4083713451213598,0.41866713617775386,-1.645287976356245
745,0.6783962559433689,-1.1189675888970554,0.7485672628484212,-1.4333798127415645,0.5966675945776255,0.6980628330475149,-1.645287976356245
746,0.6783962559433689,-1.1189675888970554,0.7485672628484212,-1.4333798127415645,0.6594330110630474,0.8377606814823956,-1.645287976356245
750,1.1041565326139386,-1.1189675888970554,0.7485672628484212,-0.522575840646641,-0.6586407351308127,-0.5592178028664101,-1.645287976356245
753,1.1041565326139386,-1.1189675888970554,0.7485672628484212,-0.522575840646641,-0.47034448567454695,-0.14012425756176838,-1.645287976356245
758,0.6783962559433689,-1.1189675888970554,0.7485672628484212,1.2990321035432058,-0.1565174032474374,-0.4195199544315295,-1.645287976356245
759,0.7635483112774829,-1.1189675888970554,0.7485672628484212,1.2990321035432058,-0.09375198676201549,-0.2798221059966489,-1.645287976356245
782,0.039755840937514386,-1.6793603961948054,0.7485672628484212,-1.4333798127415645,0.15730967917967217,-0.2798221059966489,-3.0207224755164375
783,0.8487003666115969,-1.6793603961948054,0.7485672628484212,-0.522575840646641,0.22007509566509406,0.13927143930799274,-2.5746356109239428
806,0.7209722836104259,-1.8441818101059082,0.7485672628484212,0.38822813144828233,-0.3448136527037031,-0.14012425756176838,-1.645287976356245
813,0.08233186860457135,1.3203893369872677,0.7485672628484212,-0.522575840646641,-0.5958753186453908,-0.5592178028664101,-1.645287976356245
