,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
467,Andras Sopronyi,HUN,39,M,1,CNF,0,35.0,35.0,WHITE,35.0,Ok,Aida nOxyDepth 2023,Depth Competition,2023-08-24,2023,8,1,1
468,Andre Grce,CRO,21,M,1,FIM,3,32.0,32.0,WHITE,32.0,Ok,Depth World Championship,Depth Competition,2021-09-25,2021,9,1,1
469,Andre Grce,CRO,21,M,1,CNF,0,25.0,25.0,WHITE,25.0,Ok,Depth World Championship,Depth Competition,2021-09-27,2021,9,2,1
470,Andre Grce,CRO,21,M,1,CWTB,2,37.0,37.0,WHITE,37.0,Ok,Depth World Championship,Depth Competition,2021-09-28,2021,9,3,1
471,Andre Grce,CRO,21,M,1,CWTB,2,42.0,31.0,YELLOW,14.0,"No tag,under ap",AIDA Lastovo Super Depth,Depth Competition,2023-09-01,2023,9,4,2
472,Andre Grce,CRO,21,M,1,CWTB,2,42.0,26.0,YELLOW,9.0,"No tag,under ap",AIDA Lastovo Super Depth,Depth Competition,2023-09-02,2023,9,5,3
473,Andre Grce,CRO,21,M,1,CNF,0,28.0,28.0,WHITE,28.0,Ok,Depth World Championship,Depth Competition,2024-09-07,2024,9,6,2
474,Andre Grce,CRO,21,M,1,CWT,1,38.0,38.0,WHITE,38.0,Ok,Depth World Championship,Depth Competition,2024-09-14,2024,9,7,1
475,Andre Grce,CRO,21,M,1,FIM,3,41.0,41.0,RED,0.0,Dqsp,Depth World Championship,Depth Competition,2024-09-15,2024,9,8,2
476,Andre Yu Li,AUS,6,M,1,CWT,1,51.0,51.0,WHITE,51.0,Ok,Depth World Championship,Depth Competition,2024-06-02,2024,6,1,1
477,Andrea Blaesi,CHE,15,F,0,CWTB,2,45.0,45.0,WHITE,45.0,Ok,Depth World Championship,Depth Competition,2024-09-08,2024,9,1,1
478,Andrea Blaesi,CHE,15,F,0,FIM,3,50.0,50.0,WHITE,50.0,Ok,Depth World Championship,Depth Competition,2024-09-11,2024,9,2,1
